
KC대학교,kcu.ac.kr
가톨릭대학교(성신캠),catholic.ac.kr
가톨릭대학교(성의캠),catholic.ac.kr
감리교신학대학교,mtu.ac.kr
건국대학교,konkuk.ac.kr
경기대학교(서울캠),kyonggi.ac.kr
경희대학교,khu.ac.kr
고려대학교,korea.ac.kr
광운대학교,kw.ac.kr
국민대학교,kookmin.ac.kr
덕성여자대학교,duksung.ac.kr
동국대학교,dgu.ac.kr
동덕여자대학교,dongduk.ac.kr
명지대학교,mju.ac.kr
삼육대학교,syu.ac.kr
상명대학교,smu.catholic.ac.kr
서강대학교,sogang.ac.kr
서경대학교,skuniv.ac.kr
서울과학기술대학교,seoultech.ac.kr
서울교육대학교,snue.ac.kr
서울기독대학교,scu.ac.kr
서울대학교,snu.ac.kr
서울시립대학교,uos.ac.kr
서울여자대학교,swu.ac.kr
성공회대학교,skhu.ac.kr
성균관대학교,skku.ac.kr
성신여자대학교,sungshin.ac.kr
세종대학교,sejong.ac.kr
숙명여자대학교,sm.ac.kr
숭실대학교,soongsil.ac.kr
연세대학교,yonsei.ac.kr
육군사관학교,kma.ac.kr
이화여자대학교,ewha.ac.kr
장로회신학대학교,pcts.ac.kr
중앙대학교,cau.ac.kr
총신대학교,chongshin.ac.kr
추계예술대학교,chugye.ac.kr
한국방송통신대학교,knou.ac.kr
한국성서대학교,bible.ac.kr
한국외국어대학교,hufs.ac.kr
한국체육대학교,knsu.ac.kr
한성대학교,hansung.ac.kr
한양대학교,hanyang.ac.kr
한영신학대학교,hytu.ac.kr
홍익대학교,hongik.ac.kr
